LOCALIDAD,ESPECIE,RAZA,Cantidad
1,Felino,CRIOLLO,3207
1,Canino,CRIOLLO,1994
1,Canino,PITBULL,348
1,Canino,FRENCH POODLE STANDARD,291
1,Felino,SIAMES,46
1,Felino,PERSA,27
2,Felino,CRIOLLO,941
2,Canino,CRIOLLO,807
2,Canino,PITBULL,182
2,Canino,MESTIZO,103
2,Felino,SIAMES,13
2,Felino,PERSA,7
3,Felino,CRIOLLO,1268
3,Canino,CRIOLLO,896
3,Canino,PITBULL,233
3,Canino,FRENCH POODLE STANDARD,109
3,Felino,EURASIER,35
3,Felino,PELO DE PUNTA AMERICANO,20
4,Felino,CRIOLLO,6506
4,Canino,CRIOLLO,3330
4,Canino,PITBULL,773
4,Canino,FRENCH POODLE STANDARD,594
4,Felino,EURASIER,172
4,Felino,SIAMES,66
5,Felino,CRIOLLO,10518
5,Canino,CRIOLLO,5651
5,Canino,PITBULL,944
5,Canino,MESTIZO,862
5,Felino,SIAMES,97
5,Felino,PERSA,24
6,Felino,CRIOLLO,5287
6,Canino,CRIOLLO,4096
6,Canino,PITBULL,799
6,Canino,FRENCH POODLE STANDARD,503
6,Felino,SIAMES,46
6,Felino,PERSA,10
7,Felino,CRIOLLO,5106
7,Canino,CRIOLLO,3224
7,Canino,PITBULL,812
7,Canino,FRENCH POODLE STANDARD,757
7,Felino,SIAMES,82
7,Felino,RUSO AZUL,22
8,Felino,CRIOLLO,8288
8,Canino,CRIOLLO,4436
8,Canino,PITBULL,1043
8,Canino,FRENCH POODLE STANDARD,1017
8,Felino,SIAMES,123
8,Felino,PERSA,47
9,Felino,CRIOLLO,2529
9,Canino,CRIOLLO,1630
9,Canino,FRENCH POODLE STANDARD,372
9,Canino,PITBULL,364
9,Felino,SIAMES,52
9,Felino,PERSA,32
10,Felino,CRIOLLO,6641
10,Canino,CRIOLLO,4437
10,Canino,PITBULL,761
10,Canino,FRENCH POODLE STANDARD,657
10,Felino,SIAMES,107
10,Felino,PELO DE PUNTA AMERICANO,105
11,Felino,CRIOLLO,8130
11,Canino,CRIOLLO,5675
11,Canino,PITBULL,1019
11,Canino,FRENCH POODLE STANDARD,702
11,Felino,PELO DE PUNTA AMERICANO,170
11,Felino,SIAMES,81
12,Felino,CRIOLLO,1113
12,Canino,CRIOLLO,752
12,Canino,PITBULL,131
12,Canino,FRENCH POODLE STANDARD,125
12,Felino,SIAMES,10
12,Felino,RUSO AZUL,9
13,Felino,CRIOLLO,609
13,Canino,CRIOLLO,582
13,Canino,FRENCH POODLE STANDARD,117
13,Canino,MESTIZO,98
13,Felino,SIAMES,16
13,Felino,PERSA,14
14,Felino,CRIOLLO,1015
14,Canino,CRIOLLO,551
14,Canino,PITBULL,140
14,Canino,FRENCH POODLE STANDARD,75
14,Felino,EURASIER,66
14,Felino,SIAMES,16
15,Felino,CRIOLLO,1356
15,Canino,CRIOLLO,934
15,Canino,PITBULL,171
15,Canino,FRENCH POODLE STANDARD,155
15,Felino,EURASIER,38
15,Felino,SIAMES,18
16,Felino,CRIOLLO,2558
16,Canino,CRIOLLO,1688
16,Canino,FRENCH POODLE STANDARD,319
16,Canino,PITBULL,319
16,Felino,SIAMES,40
16,Felino,PERSA,24
17,Felino,CRIOLLO,541
17,Canino,CRIOLLO,295
17,Canino,PITBULL,75
17,Canino,MESTIZO,52
17,Felino,SIAMES,6
17,Felino,PERSA,4
18,Felino,CRIOLLO,6705
18,Canino,CRIOLLO,3403
18,Canino,PITBULL,792
18,Canino,FRENCH POODLE STANDARD,634
18,Felino,EURASIER,86
18,Felino,SIAMES,51
19,Felino,CRIOLLO,9295
19,Canino,CRIOLLO,6903
19,Canino,PITBULL,1545
19,Canino,FRENCH POODLE STANDARD,1164
19,Felino,SIAMES,100
19,Felino,BULLDOG FRANCES,72
20,Canino,CRIOLLO,165
20,Felino,CRIOLLO,72
20,Canino,MESTIZO,27
20,Canino,PASTOR ALEMAN,6
20,Felino,MESTIZO,5
21,Canino,CRIOLLO,128
21,Felino,CRIOLLO,60
21,Canino,PITBULL,46
21,Canino,GOLDEN RETRIEVER,27
21,Felino,SIAMES,7
21,Felino,PERSA,4
22,Canino,CRIOLLO,2730
22,Felino,CRIOLLO,1556
22,Canino,PITBULL,201
22,Canino,GOLDEN RETRIEVER,173
22,Felino,PERSA,39
22,Felino,RAGDOLL,28
